o0900000	e		-	5	3
o0900000	s	A	A	524	3
o0900001	c	|A×AB₂|	|A×AB₂|	3	4
o0900009	s	A@t	A@t	1	20
o0900010	s	A₂	A₂	1	22
o0900012	e		-	49	24
o0900012	s	AB~a	AB~a	360	24
o0900014	e		-	1	50
o0900014	s	AB~b	AB~b	85	50
o0900016	c	|AB~b×A|	|AB~b×A|	1	51
o0900020	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	2	28
o0900023	c	|AB~b×KU₆~a|	|AB~b×KU₆~a|	1	53
o0900027	c	|AB~a×1(N04)|	|AB~a×1(N04)|	3	44
o0900029	c	|AB~a×SUKKAL|	|AB~a×SUKKAL|	3	33
o0900031	c	|AB~b×ŠA₃~a1|	|AB~b×ŠA₃~a1|	1	55
o0900033	c	|AB~a×(ŠE~a&ŠE~a)|	|AB~a×(ŠE~a&ŠE~a)|	3	35
o0900038	c	|AB~a×ZATU659|	|AB~a×ZATU659|	3	40
o0900040	s	AB~a@g	AB~a@g	2	48
o0900041	e		-	1	58
o0900041	s	AB₂	AB₂	258	58
o0900047	s	|NUN~a.ME~a|	ABGAL	51	67
o0900049	s	|NUN~a.ME~a.DU|	ABRIG	2	68
o0900050	s	ABZU	ABZU	5	69
o0900053	s	AD~a	AD~a	51	72
o0900054	s	AD~b	AD~b	2	74
o0900055	s	AD~c	AD~c	8	76
o0900056	s	ADAB	ADAB	24	78
o0900058	s	ADDA	ADDA	1	81
o0900060	s	AGAR₂	AGAR₂	18	85
o0900062	s	AK~a	AK~a	47	87
o0900064	s	AL	AL	118	91
o0900066	s	ALAN~a	ALAN~a	6	93
o0900067	s	ALAN~b	ALAN~b	7	95
o0900068	s	ALAN~c	ALAN~c	7	97
o0900070	s	ALAN~e	ALAN~e	2	101
o0900072	s	ALIM	ALIM	12	105
o0900074	s	AM~a	AM~a	2	107
o0900075	s	AM~b	AM~b	2	109
o0900077	s	AMA~a	AMA~a	84	111
o0900079	s	AMA~b	AMA~b	4	116
o0900081	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	4	112
o0900082	e		-	5	118
o0900082	s	AMAR	AMAR	121	118
o0900085	c	|AMAR.1(N02)|	|AMAR.1(N02)|	2	119
o0900089	e		-	2	131
o0900089	s	AN	AN	857	131
o0900093	s	ANŠE~a	ANŠE~a	4	136
o0900094	s	ANŠE~b	ANŠE~b	30	138
o0900095	s	ANŠE~c	ANŠE~c	3	140
o0900096	s	ANŠE~e	ANŠE~e	6	143
o0900097	s	ANŠE~f	ANŠE~f	5	145
o0900100	s	APIN~a	APIN	1	149
o0900100	s	APIN~a	APIN~a	203	149
o0900101	s	APIN~b	APIN~b	12	153
o0900102	s	APIN~c	APIN~c	1	155
o0900106	s	ARARMA₂~a	ARARMA₂~a	12	157
o0900108	s	|U₄.AB~b|	ARARMA₂~b	1	160
o0900109	s	|3(N57).LAM~a.KUR~a.RU|	ARATTA	1	161
o0900111	s	ASAR	ASAR	19	164
o0900112	s	AŠ₂	AŠ₂	1	167
o0900113	e		-	3	170
o0900113	s	AZ	AZ	18	170
o0900115	s	BA	BA	642	174
o0900116	e		-	64	176
o0900116	s	BAD	BAD	18	176
o0900117	c	|BAD&BAD|	|BAD&BAD|	7	178
o0900117	e		-	32	178
o0900119	s	BAD₃~a	BAD₃~a	2	181
o0900121	s	BAD₃~b1	BAD₃~b1	4	183
o0900122	c	BAD₃~b2	|EZEM~b×AN|	1	185
o0900122	s	BAD₃~b2	BAD₃~b2	3	185
o0900124	s	BAHAR₂~a	BAHAR₂~a	17	187
o0900128	s	BAHAR₂~c	BAHAR₂~c	19	193
o0900130	s	BALA~a	BALA~a	19	195
o0900133	s	BALAG	BALAG	12	200
o0900139	s	BAN~b	BAN~b	15	207
o0900142	s	BANŠUR~b1	BANŠUR~b1	3	213
o0900143	s	BANŠUR~b2	BANŠUR~b2	1	215
o0900144	s	BANŠUR~c	BANŠUR~c	2	217
o0900148	s	BAPPIR~a	BAPPIR~a	4	219
o0900149	s	BAPPIR~b	BAPPIR~b	3	221
o0900150	s	BAPPIR~c	BAPPIR~c	1	223
o0900151	s	BAPPIR~d	BAPPIR~d	6	225
o0900152	s	BAPPIR~e	BAPPIR~e	1	227
o0900153	s	BAPPIR~f	BAPPIR~f	1	229
o0900154	s	BAR	BAR	384	231
o0900158	s	BARA₂~a	BARA₂~a	56	237
o0900162	e		-	1	243
o0900162	s	BARA₃	BARA₃	17	243
o0900165	s	BIR~a	BIR~a	2	710
o0900169	e		-	1	716
o0900169	s	BIR₃~a	BIR₃~a	16	716
o0900171	s	BIR₃~b	BIR₃~b	4	719
o0900173	s	BIR₃~c	BIR₃~c	4	722
o0900175	e		-	4	725
o0900175	s	BU~a	BU~a	507	725
o0900177	e		-	1	758
o0900177	s	BU~b	BU~b	11	758
o0900185	c	|BU~a×GIŠ@t|	|BU~a×GIŠ@t|	1	739
o0900187	c	|BU~a×1(N58)|	|BU~a×1(N58)|	1	741
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	7	744
o0900199	c	|BU~a+DU₆~a|	|BU~a.DU₆~a|	8	730
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	47	730
o0900202	c	|BU~a+KI|	|BU~a+KI|	1	733
o0900205	e		-	1	762
o0900205	s	BU₃	BU₃	26	762
o0900205	s	BU₃	BU₃~a	3	762
o0900206	s	BULUG	BULUG	1	765
o0900207	s	BULUG₃	BULUG₃	35	767
o0900211	s	BUR~a	BUR~a	36	771
o0900212	s	BUR~b	BUR~b	7	773
o0900214	s	BUR~d	BUR~d	1	777
o0900215	e		-	5	779
o0900215	s	BUR₂	BUR₂	43	779
o0900217	e		-	1	781
o0900217	s	DA~a	DA~a	212	781
o0900222	c	|DA~a.LIŠ|	|DA~a.LIŠ|	1	782
o0900224	s	DAH	DAH	25	793
o0900225	s	DAM	DAM	14	795
o0900226	s	DANNA	DANNA	8	797
o0900228	s	DAR~a	DAR~a	25	799
o0900229	s	DAR~b	DAR~b	27	803
o0900230	s	DAR~c	DAR~c	6	805
o0900231	s	DAR~d	DAR~d	1	807
o0900233	c	|DAR~a×A|	|DAR~a×A|	1	800
o0900235	s	DARA₃~a	DARA₃~a	1	809
o0900237	s	DARA₃~c	DARA₃~c	6	813
o0900239	s	DARA₃~d	DARA₃~d	1	821
o0900241	c	|DARA₃~c×KAR₂|	|DARA₃~c×KAR₂|	3	814
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	6	826
o0900247	c	|DARA₃~d×(KAR₂.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	1	824
o0900249	s	DARA₄~a1	DARA₄~a1	27	831
o0900252	s	DARA₄~b	DARA₄~b	2	837
o0900253	s	DARA₄~c	DARA₄~c	1	839
o0900254	s	DARA₄~c1	DARA₄~c1	18	841
o0900255	s	DARA₄~c2	DARA₄~c2	24	843
o0900256	s	DARA₄~c3	DARA₄~c3	5	845
o0900257	s	DARA₄~c4	DARA₄~c4	11	847
o0900258	s	DARA₄~c5	DARA₄~c5	1	849
o0900259	s	DARA₄~d	DARA₄~d	1	851
o0900260	s	DI	DI	106	853
o0900261	s	DI@t	DI@t	2	855
o0900262	s	DIB	DIB	3	857
o0900264	s	DILMUN	DILMUN	33	861
o0900269	s	DIM~a	DIM~a	50	865
o0900270	s	DIM~b	DIM~b	2	872
o0900271	s	DIM~c	DIM~c	19	874
o0900276	s	DIN	DIN	50	876
o0900277	c	|DIN×1(N58)|	|DIN+1(N57)|	1	878
o0900278	s	DIN@t	DIN@t	1	881
o0900279	e		-	3	884
o0900279	s	DU	DU	448	884
o0900281	c	|DU×1(N58@t)|	|DU×DIŠ|	3	886
o0900282	s	DU@g	DU@g	4	891
o0900284	s	DU₆~a	DU₆~a	14	893
o0900287	s	DU₆~b	DU₆~b	30	903
o0900291	s	DU₇	DU₇	7	907
o0900296	s	DU₈~c	DU₈~c	34	914
o0900299	c	|DU₈~c×AB₂|	|DU₈~c×AB₂|	1	915
o0900301	c	|DU₈~c×AMAR|	|DU₈~c×AMAR|	8	917
o0900305	c	|DU₈~c×UDU~a|	|DU₈~c×UDU~a|	8	921
o0900309	s	DU₈~c@g	DU₈@g~c	1	926
o0900309	s	DU₈~c@g	DU₈~c@g	19	926
o0900312	s	DUB~a	DUB~a	148	933
o0900319	s	DUB~d	DUB~d	2	945
o0900320	s	DUB~e	DUB~e	1	947
o0900321	s	DUB~f	DUB~f	4	949
o0900322	s	DUB~h	DUB~h	1	951
o0900326	c	|(DUB@n~a×1(N58))~b|	|(DUB×DIŠ)~c|	1	957
o0900329	s	DUB₂	DUB₂	2	962
o0900331	s	DUG~a	DUG~a	213	965
o0900334	s	DUG~b	DUG~b	77	987
o0900342	c	|DUG~b×ANŠE~b|	|DUG~b×ANŠE~b|	5	990
o0900343	c	|DUG~b×ANŠE~d|	|DUG~b×ANŠE~d|	2	992
o0900347	c	|DUG~b×BALA~a|	|DUG~b×BALA~a|	10	994
o0900349	c	|DUG~b×BIR₃~c|	|DUG~b×BIR₃~c|	2	996
o0900351	c	|DUG~b×DIN|	|DUG~b×DIN|	13	998
o0900356	c	|DUG~b×E~a|	|DUG~b×E~a|	1	1003
o0900359	c	|DUG~b×GA~b|	|DUG~b×GA~b|	2	1007
o0900363	c	|DUG~b×GEŠTU~b|	|DUG~b×GEŠTU~b|	1	1012
o0900365	c	|DUG~b×GI₆|	|DUG~b×GI₆|	3	1014
o0900367	c	|DUG~b×GIŠ|	|DUG~b×GIŠ|	7	1016
o0900370	c	|DUG~b×HI|	|DUG~b×HI|	6	1018
o0900375	c	|DUG~a×KASKAL|	|DUG~a×KASKAL|	1	968
