o0980000	s	A	A	9	1
o0980010	s	AB~a	AB~a	7	22
o0980021	s	AB~b	AB~b	1	48
o0980025	s	AB₂	AB₂	5	56
o0980038	s	AK~a	AK~a	1	89
o0980040	s	AL	AL	1	93
o0980050	s	AMA~a	AMA~a	2	113
o0980058	s	AN	AN	8	133
o0980060	s	ANŠE~b	ANŠE~b	2	139
o0980065	s	APIN~a	APIN~a	5	151
o0980077	s	BA	BA	7	178
o0980078	e		-	1	180
o0980084	s	BAHAR₂~b	BAHAR₂~b	1	194
o0980085	s	BAHAR₂~c	BAHAR₂~c	1	197
o0980099	s	BAPPIR~d	BAPPIR~d	1	229
o0980102	s	BAR	BAR	8	235
o0980105	s	BARA₂~a	BARA₂~a	1	241
o0980112	s	BIR₃~a	BIR₃~a	1	720
o0980115	s	BU~a	BU~a	6	729
o0980117	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	2	734
o0980132	s	BUR~a	BUR~a	17	774
o0980137	s	DA~a	DA~a	4	784
o0980143	s	DAH	DAH	1	796
o0980146	s	DAR~a	DAR~a	2	802
o0980159	s	DARA₄~a1	DARA₄~a1	3	835
o0980164	s	DARA₄~c1	DARA₄~c1	1	845
o0980170	s	DI	DI	1	857
o0980174	s	DIM~a	DIM~a	3	869
o0980179	s	DIN	DIN	1	880
o0980182	s	DU	DU	3	888
o0980217	c	|DUG~a×NAGA~a|	|DUG~a×NAGA~a|	1	977
o0980284	s	DUG~c	DUG~c	2	1127
o0980290	s	DUR~b	DUR~b	1	1143
o0980291	s	DUR₂	DUR₂	2	1146
o0980297	s	E₂~a	E₂~a	2	1159
o0980301	s	E₂~b	E₂~b	5	1169
o0980309	e		-	1	1187
o0980309	s	EN~a	EN~a	40	1187
o0980321	s	|EN~a.ME~a.GI|	ENGIZ	1	1190
o0980326	s	ERIM~a	ERIM~a	4	1238
o0980329	s	|NE~a.RU|	ERIM₂	1	2587
o0980330	s	ERIN	ERIN	1	1246
o0980331	e		-	1	1248
o0980350	s	EZEN~b	EZEN~b	1	1294
