x126A4	!D©	ADAB	ADAB	ADAB	I	𒚲	𒚲;󳁧	EASL0034 EALX015 EAAR012 EAVR006	/easl/images/o0900056.png
x126C1	!D©	ARARMA₂~a	ARARMA₂~a	ARARMA2~a	I	𒛖	𒛗,𒛖	EASL0068 EALX031	/easl/images/o0900106.png
x126C2	!C©	ASAR	ASAR	ASAR	I		𒛚	EASL0072 EALX032	/easl/images/o0900111.png
x126C3	!©	AZ	AZ	AZ	I		𒛜	EASL0074	/easl/images/o0900113.png
x126D8	!U©	BAPPIR~a	BAPPIR~a	BAPPIR~a	I		𒛷	EASL0095	/easl/images/o0900148.png
x126D9	!U©	BAPPIR~b	BAPPIR~b	BAPPIR~b	I		𒛸	EASL0096 EALX047	/easl/images/o0900149.png
x126DA	!U©	BAPPIR~c	BAPPIR~c	BAPPIR~c	I		𒛹	EASL0097	/easl/images/o0900150.png
x126DB	!U©	BAPPIR~d	BAPPIR~d	BAPPIR~d	I		𒛺	EASL0098 EALX048 EAVR019	/easl/images/o0900151.png
x126DC	!U©	BAPPIR~e	BAPPIR~e	BAPPIR~e	I		𒛻	EASL0099	/easl/images/o0900152.png
x126DD	!U©	BAPPIR~f	BAPPIR~f	BAPPIR~f	I		𒛼	EASL0100	/easl/images/o0900153.png
x12790	!U©	ENKUM	ENKUM	ENKUM	I	𒟨	𒟨,𒟩	EASL0307 EALX157	/easl/images/o0900535.png
x128E6	!B©	LI	LI	LI	I	𒦳	𒦳,𒦴	EASL0765 EALX339	/easl/images/o0901301.png
x128E9	!B©	LUGAL	LUGAL	LUGAL	I	𒦻	𒦺,𒦻	EASL0770	/easl/images/o0901310.png
x1290E	!U©	ME₃	ME₃	ME3	I		𒧤	EASL0813	/easl/images/o0901382.png
x1292D	!A©	|1(N58).BAD|	|1(N58).BAD|	|1(N58).BAD~a|	I		𒸍	EASL0884 EALX036 EAAR026 EAJN021 EAVR016	/easl/images/o0903281.png
x1292E	!U©	|(1(N58).BAD)~b|	|(1(N58).BAD)~b|	|1(N58).BAD~b|	I	𒸏	𒸏,𒸎	EASL0885 EALX037 EAAR027	/easl/images/o0903283.png
x1292F	!C©	|3(N58).UR₃~b1|	|3(N58).UR₃~b1|	|3(N58).UR3~b1|	I		𒸐	EASL0886 EALX593	/easl/images/o0903287.png
x129FE	!A©	SILANITA	SILANITA	SILANITA	I		𒬗	EASL1136	/easl/images/o0901865.png
x12A23	!U©	ŠAGINA	ŠAGINA	SZAGINA	I		𒭈	EASL1178 EALX502	/easl/images/o0901932.png
x12A34	!A©	ŠELU	ŠELU	SZELU	I		𒭟	EASL1197 EALX519	/easl/images/o0901967.png
x12AB4	!A©	UDUNITA~a	UDUNITA~a	UDUNITA~a	I		𒰪	EASL1388 EALX579 EAAR415 EAJN315 EAVR272	/easl/images/o0902250.png
x12AB5	!U©	UDUNITA~b	UDUNITA~b	UDUNITA~b	I		𒰫	EASL1389 EAAR416	/easl/images/o0902251.png
x12AB6	!A©	UDUNITA~c	UDUNITA~c	UDUNITA~c	I		𒰬	EASL1390 EAAR417	/easl/images/o0902252.png
x12AFC	!©	UTUA~a	UTUA~a	UTUA~a	I		𒲆	EASL1478 EAAR450 EAJN329 EAVR288	/easl/images/o0902400.png
x12AFD	!©	UTUA~a@t	UTUA~a@t	UTUA~a@t	I		𒲇	EASL1479 EAAR451	/easl/images/o0902404.png
x12AFE	!©	UTUA~b	UTUA~b	UTUA~b	I	𒲉	𒲈,𒲉	EASL1480 EALX610 EAAR452	/easl/images/o0902401.png
x12AFF	!A©	UTUL~a	UTUL~a	UTUL~a	I		𒲊	EASL1481 EALX611 EAAR453 EAJN330 EAVR289	/easl/images/o0902406.png
x12B00	!A©	UTUL~b	UTUL~b	UTUL~b	I		𒲋	EASL1482 EALX612	/easl/images/o0902407.png
x12B01	!U©	UTUL~c	UTUL~c	UTUL~c	I		𒲌	EASL1483 EAAR454	/easl/images/o0902408.png
x12B02	!A©	UTUL~d	UTUL~d	UTUL~d	I		𒲍	EASL1484 EAAR455	/easl/images/o0902409.png
x12BF2	!U©	ZUBI~a	ZUBI~a	ZUBI~a	I		𒷯	EASL1796	/easl/images/o0902838.png
