o0900000	s	A	A	217	1
o0900010	s	A₂	A₂	1	10
o0900012	s	AB~a	AB~a	155	24
o0900014	s	AB~b	AB~b	53	37
o0900020	c	|AB~a×AŠ₂|	|AB~a×AŠ₂|	1	27
o0900038	c	|AB~a×ZATU659|	|AB~a×ZATU659|	3	32
o0900040	s	AB~a@g	AB~a@g	2	36
o0900041	s	AB₂	AB₂	198	43
o0900047	s	ABGAL	ABGAL	32	50
o0900049	s	ABRIG	ABRIG	2	52
o0900050	s	ABZU	ABZU	3	53
o0900053	s	AD~a	AD~a	28	56
o0900054	s	AD~b	AD~b	2	57
o0900056	s	ADAB	ADAB	12	59
o0900058	s	ADDA	ADDA	1	61
o0900060	s	AGAR₂	AGAR₂	14	64
o0900062	s	AK~a	AK~a	34	66
o0900064	s	AL	AL	60	68
o0900066	s	ALAN~a	ALAN~a	4	70
o0900067	s	ALAN~b	ALAN~b	7	71
o0900068	s	ALAN~c	ALAN~c	6	72
o0900072	s	ALIM	ALIM	12	75
o0900074	s	AM~a	AM~a	2	78
o0900075	s	AM~b	AM~b	1	79
o0900077	s	AMA~a	AMA~a	42	82
o0900079	s	AMA~b	AMA~b	4	85
o0900081	c	|AMA~a×E₂~a|	|AMA~a×E₂~a|	1	83
o0900082	s	AMAR	AMAR	77	86
o0900089	s	AN	AN	435	95
o0900094	s	ANŠE~b	ANŠE~b	27	100
o0900095	s	ANŠE~c	ANŠE~c	1	101
o0900096	s	ANŠE~e	ANŠE~e	5	103
o0900100	s	APIN~a	APIN~a	79	107
o0900101	s	APIN~b	APIN~b	4	109
o0900102	s	APIN~c	APIN~c	1	110
o0900106	s	ARARMA₂~a	ARARMA₂~a	7	112
o0900108	s	ARARMA₂~b	ARARMA₂~b	1	114
o0900109	s	ARATTA	ARATTA	1	115
o0900111	s	ASAR	ASAR	5	116
o0900113	s	AZ	AZ	13	120
o0900115	s	BA	BA	319	122
o0900116	s	BAD	BAD	18	123
o0900117	c	|BAD&BAD|	|BAD&BAD|	7	126
o0900119	s	BAD₃~a	BAD₃~a	2	129
o0900121	s	BAD₃~b1	BAD₃~b1	1	130
o0900122	s	BAD₃~b2	BAD₃~b2	3	131
o0900124	s	BAHAR₂~a	BAHAR₂~a	11	133
o0900126	s	BAHAR₂~b	BAHAR₂~b	9	135
o0900128	s	BAHAR₂~c	BAHAR₂~c	5	137
o0900130	s	BALA~a	BALA~a	15	139
o0900133	s	BALAG	BALAG	11	142
o0900136	s	BAN~a	BAN~a	8	145
o0900139	s	BAN~b	BAN~b	5	148
o0900142	s	BANŠUR~b1	BANŠUR~b1	2	152
o0900143	s	BANŠUR~b2	BANŠUR~b2	1	153
o0900144	s	BANŠUR~c	BANŠUR~c	2	154
o0900148	s	BAPPIR~a	BAPPIR~a	4	157
o0900149	s	BAPPIR~b	BAPPIR~b	2	158
o0900150	s	BAPPIR~c	BAPPIR~c	1	159
o0900151	s	BAPPIR~d	BAPPIR~d	5	160
o0900152	s	BAPPIR~e	BAPPIR~e	1	161
o0900153	s	BAPPIR~f	BAPPIR~f	1	162
o0900154	s	BAR	BAR	190	163
o0900158	s	BARA₂~a	BARA₂~a	38	169
o0900162	s	BARA₃	BARA₃	13	173
o0900169	s	BIR₃~a	BIR₃~a	14	643
o0900171	s	BIR₃~b	BIR₃~b	1	645
o0900173	s	BIR₃~c	BIR₃~c	3	647
o0900175	s	BU~a	BU~a	237	664
o0900177	s	BU~b	BU~b	4	689
o0900181	c	|BU~b.NA₂~a~v1|	|BU~b.NA₂~a|	1	691
o0900191	c	|(BU~a&BU~a).NA₂~a|	|(BU~a&BU~a).NA₂~a|	3	679
o0900199	c	|BU~a+DU₆~a|	|BU~a+DU₆~a|	25	670
o0900205	s	BU₃	BU₃	20	692
o0900206	s	BULUG	BULUG	1	694
o0900207	s	BULUG₃	BULUG₃	10	695
o0900211	s	BUR~a	BUR~a	15	699
o0900212	s	BUR~b	BUR~b	5	700
o0900214	s	BUR~d	BUR~d	1	702
o0900215	s	BUR₂	BUR₂	38	703
o0900217	s	DA~a	DA~a	94	706
o0900224	s	DAH	DAH	7	711
o0900225	s	DAM	DAM	9	712
o0900226	s	DANNA	DANNA	1	713
o0900228	s	DAR~a	DAR~a	8	716
o0900229	s	DAR~b	DAR~b	1	718
o0900230	s	DAR~c	DAR~c	3	719
o0900231	s	DAR~d	DAR~d	1	720
o0900233	c	|DAR~a×A|	|DAR~a×A|	1	717
o0900237	s	DARA₃~c	DARA₃~c	5	726
o0900239	s	DARA₃~d	DARA₃~d	1	732
o0900243	c	|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂|	4	737
o0900247	c	|DARA₃~d2×(KAR₂~a1.ŠE~a)|	|DARA₃~d×(KAR₂.ŠE~a)|	1	742
o0900249	s	DARA₄~a1	DARA₄~a1	16	744
o0900252	s	DARA₄~b	DARA₄~b	2	747
o0900254	s	DARA₄~c1	DARA₄~c1	14	749
o0900255	s	DARA₄~c2	DARA₄~c2	9	750
o0900256	s	DARA₄~c3	DARA₄~c3	5	751
o0900257	s	DARA₄~c4	DARA₄~c4	10	752
o0900258	s	DARA₄~c5	DARA₄~c5	1	753
o0900260	s	DI	DI	50	755
