o0900001		|A×AB₂|	|A×AB₂|	|AxAB2|	I	𒚑	𒚑	EASL0002	/pcsl/easl/images/o0900001.png
o0900002	1-	|A×AN|	|A×AN|	|AxAN|	I	󲱇	󲱇	EASL0003	/pcsl/easl/images/o0900002.png
o0900008	1-	A@g	A@g	A@g	I	󲛩	󲛩	EASL0008	/pcsl/easl/images/o0900008.png
o0900009		A@t	A@t	A@t	I	𒚖	𒚖	EASL0009	/pcsl/easl/images/o0900009.png
o0900022		|AB~a×KU₆~a|	|AB~a×KU₆~a|	|AB~axKU6~a|	I	𒚛	𒚛	EASL0014	/pcsl/easl/images/o0900022.png
o0900029		|AB~a×SUKKAL|	|AB~a×SUKKAL|	|AB~axSUKKAL|	I	𒚜	𒚜	EASL0015	/pcsl/easl/images/o0900029.png
o0900035	#	|AB~a×X|	|AB~a×X|	|AB~axX|	I	𒚞	𒚞	EASL0017	/pcsl/easl/images/o0900035.png
o0900025		|AB~a×1(N01)|	|AB~a×1(N01)|	|AB~ax1(N01)|	I	𒚠	𒚠	EASL0019	/pcsl/easl/images/o0900025.png
o0900016		|AB~b×A|	|AB~b×A|	|AB~bxA|	I	𒚤	𒚤	EASL0022	/pcsl/easl/images/o0900016.png
o0900023		|AB~b×KU₆~a|	|AB~b×KU₆~a|	|AB~bxKU6~a|	I	𒚥	𒚥	EASL0023	/pcsl/easl/images/o0900023.png
o0900031		|AB~b×ŠA₃~a1|	|AB~b×ŠA₃~a1|	|AB~bxSZA3~a1|	I	𒚦	𒚦	EASL0024	/pcsl/easl/images/o0900031.png
o0900046	++	AB₂@g	AB₂@g	-	I	󳀪	󳀪	EASL0027	/pcsl/images/add/thumb/AB2@g.png
o0900059		ADDA@t	ADDA@t	ADDA@t	I	𒚴	𒚴	EASL0036	/pcsl/easl/images/o0900059.png
o0900069		ALAN~d	ALAN~d	ALAN~d	I	𒚼	𒚼	EASL0044	/pcsl/easl/images/o0900069.png
o0900071	1-	ALAN~f	ALAN~f	ALAN~f	I	󲜄	󲜄	EASL0046	/pcsl/easl/images/o0900071.png
o0900098	1-.	ANZU₂	ANZU₂	ANZU2	I	󲜖	󲜖	EASL0063	/pcsl/easl/images/o0900098.png
o0900110	1-	ASAL₂	ASAL₂	ASAL2	I	󲜞	󲜞	EASL0071	/pcsl/easl/images/o0900110.png
o0900112		AŠ₂	AŠ₂	ASZ2	I	𒛛	𒛛	EASL0073	/pcsl/easl/images/o0900112.png
o0900156	-C01b	|BAR×URI₃~a|	|BAR×URI₃~a|	-	I	󳁠	󳁠	CSL005	
o0903380	-C01t	|BAR×UŠ~a|	|BAR×UŠ~a|	-	I	󳂕	󳂕	CSL006	
o0900163	1-	BAU405	BAU405	|UET2.405|	I	󲪥	󲪥	EASL0105	/pcsl/easl/images/o0900163.png
o0900179	C21b	|((BU~a.DU₆~a)&(BU~a.DU₆~a))×UDU~a|	|((BU~a.DU₆~a)&(BU~a.DU₆~a))×UDU~a|	-	I	󳀣	󳀣	CSL007	
o0900204	C21b	|BU~a+TU~b|	|BU~a+TU~b|	-	I	󳀮	󳀮	CSL009	
o0900185		|BU~a×GIŠ@t|	|BU~a×GIŠ@t|	|BU~axGISZ@t|	I	𒜎	𒜎	EASL0114	/pcsl/easl/images/o0900185.png
o0900187		|BU~a×1(N58)|	|BU~a×1(N58)|	|BU~ax1(N58)|	I	𒜏	𒜏	EASL0115	/pcsl/easl/images/o0900187.png
o0900193	d	|(BU~a&BU~a).NA₂~b|	|(BU~a&BU~a).NA₂~b|	|(BU~a&BU~a).NA2~b|	I	󲱣	󲱣	EASL0117	/pcsl/easl/images/o0900193.png
o0903572	.n	|BU~b.NA₂~a|	|BU~b.NA₂~a~v1|	|BU~b.NA2~a|	I	𒜗	𒜗	EASL0122	/pcsl/easl/images/o0900181.png
o0900209	.C01b	|BULUG₃.DU₆~a|	|BULUG₃.DU₆~a|	-	I	󳁡	󳁡	CSL010	
o0900222	.	|DA~a.LIŠ|	|DA~a.LIŠ|	|DA~a.LISZ|	I	𒜡	𒜡	EASL0132	/pcsl/easl/images/o0900222.png
o0900223	1-	DAG	DAG	DAG	I	󲝞	󲝞	EASL0136	/pcsl/easl/images/o0900223.png
o0900231		DAR~d	DAR~d	DAR~d	I	𒜬	𒜬	EASL0144	/pcsl/easl/images/o0900231.png
o0900243		|DARA₃~d×KAR₂~b|	|DARA₃~d×KAR₂~b|	|DARA3~dxKAR2|	I	𒜴	𒜵,𒜴,𒜶	EASL0152 EALX070 EAAR055	/pcsl/easl/images/o0900243.png
o0900273	1-	|DIM~a×GU|	|DIM~a×GU|	|DIM~axGU|	I	󲱱	󲱱	EASL0167	/pcsl/easl/images/o0900273.png
o0900275	1-	|DIM~a×X|	|DIM~a×X|	|DIM~axX|	I	󲱲	󲱲	EASL0168	/pcsl/easl/images/o0900275.png
o0903567	++	DU₆~a@n	DU₆~a@n	-	I	󳂉	󳂉	EASL0178	/pcsl/images/add/thumb/XXX.png
o0900307	#	|DU₈~c×X|	|DU₈~c×X|	|DU8~cxX|	I	𒝜	𒝜	EASL0187	/pcsl/easl/images/o0900307.png
o0900328	++	DUB~b@r	DUB~b@r	-	I	󳁓	󳁓	EASL0191	/pcsl/images/add/thumb/DUB@r.png
o0900369	1-	|DUG~a×HI|	|DUG~a×HI|	|DUG~axHI|	I	󲱼	󲱼	EASL0201	/pcsl/easl/images/o0900369.png
