EASL0001	o0980000		A	I	A	𒚐;󳃹	/pcsl/easl/images/o0900000.png
EASL0002	o0980001		|A×AB₂|	I	|AxAB2|	𒚑	/pcsl/easl/images/o0900001.png
EASL0003	o0980002	1-	|A×AN|	I	|AxAN|	󲱇	/pcsl/easl/images/o0900002.png
EASL0004	o0980003	n	|A×EN~a~v2|	I	|AxEN~a|	𒚒	/pcsl/easl/images/o0900004.png
EASL0005	o0980004		|A×ŠUBUR|	I	|AxSZUBUR|	𒚓	/pcsl/easl/images/o0900006.png
EASL0006	o0980005		|A×ZATU672|	I	|AxZATU672|	𒚔	/pcsl/easl/images/o0900007.png
EASL0007	o0980006		|A×1(N14)|	I	|Ax1(N14)|	𒚕	/pcsl/easl/images/o0900005.png
EASL0008	o0980007	1-	A@g	I	A@g	󲛩	/pcsl/easl/images/o0900008.png
EASL0009	o0980008		A@t	I	A@t	𒚖	/pcsl/easl/images/o0900009.png
EASL0010	o0980009		A₂	I	A2	𒚗	/pcsl/easl/images/o0900010.png
EASL0011	o0980010		AB~a	I	AB~a	𒚢,𒚘	/pcsl/easl/images/o0900012.png
EASL0012	o0980011		|AB~a×A@t|	I	|AB~axA@t|	𒚙;󳃱	/pcsl/easl/images/o0900018.png
EASL0013	o0980012		|AB~a×AŠ₂|	I	|AB~axASZ2|	𒚚	/pcsl/easl/images/o0900020.png
EASL0014	o0980013		|AB~a×KU₆~a|	I	|AB~axKU6~a|	𒚛	/pcsl/easl/images/o0900022.png
EASL0015	o0980014		|AB~a×SUKKAL|	I	|AB~axSUKKAL|	𒚜	/pcsl/easl/images/o0900029.png
EASL0016	o0980015	c	|AB~a×(ŠE~a&ŠE~a)|	I	|AB~ax(SZE~a&SZE~a)|	𒚝	/pcsl/easl/images/o0900033.png
EASL0017	o0980016	#	|AB~a×X|	I	|AB~axX|	𒚞	/pcsl/easl/images/o0900035.png
EASL0018	o0980017		|AB~a×ZATU659|	I	|AB~axZATU659|	𒚟	/pcsl/easl/images/o0900038.png
EASL0019	o0980018		|AB~a×1(N01)|	I	|AB~ax1(N01)|	𒚠	/pcsl/easl/images/o0900025.png
EASL0020	o0980020		AB~a@g	I	AB~a@g	𒚡	/pcsl/easl/images/o0900040.png
EASL0021	o0980021		AB~b	I	AB~b	𒚣	/pcsl/easl/images/o0900014.png
EASL0022	o0980022		|AB~b×A|	I	|AB~bxA|	𒚤	/pcsl/easl/images/o0900016.png
