12690	A
12698	AB~a
126A3	AB~b
126A7	AB₂
126AB	ABGAL
126AF	AD~a
126B1	AD~c
126B5	AGAR₂
126B6	AK~a
126B8	AL
126C1	AMA~a
126C2	AMA~a+E₂~a
126C5	AMAR
126C6	AMAR+1N2
12E04	AMAR+4N57
126CC	AN
126CF	ANŠE~b
126D2	APIN~a
126D4	APIN~b
126DE	BA
12E0D	BAD+DIŠ~a
126E6	BAHAR₂~b
126E8	BAHAR₂~c
126E9	BALA~a
126F1	BAN~b
126FD	BAR
126FE	BARA₂~a
12702	BARA₃
1270B	BU~a
1270C	BU~a+DU₆~a
12716	BU~b
12720	DA~a
12725	DAH
1272A	DAR~b
12741	DI
12748	DIM~a
1274B	DIN
1274D	DU
1274F	DU.gunû
1274E	DU+1N58
12753	DU₆~b
12759	DU₈~c
1275F	DUB~a
12760	DUB~b
127BD	DUG+AŠ~c
1276D	DUG~a
12777	DUG~b
127BC	DUG~c
127C3	DUR~a
127C4	DUR~b
127C5	DUR₂
127CA	E₂~a
127CE	E₂~b
127D6	EN~a
12A76	EN~a+NUN~a
127DD	EN~c
127E3	EN₂
127E5	EN₂+E₂~b
127E7	ENGIZ
127EB	ERIM~a
127EF	ERIN
127F0	EŠDA
12803	EZEN~b
1280A	GA~a
12815	GA₂~a1
12832	GA₂~a1+?
12818	GA₂~a1+GEŠTU~c3
12819	GA₂~a1+GEŠTU~c5
12829	GA₂~a1+SU~a
1282F	GA₂~a1+ŠA
1283B	GA₂~a2+ŠE₃
12847	GAʾAR~a1
12D59	GABURRA
1284E	GAL~a
12852	GAN~a
12867	GAN₂
12868	GAR
12DF2	GAR+XN57
12DFF	GAR+3N57
12E05	GAR+4N57
12E08	GAR+5N57
12E0A	GAR+6N57
12874	GEŠTU~b
12877	GEŠTU~c5
12878	GI
1287F	GI+GI
12879	GI+KU~b1
12889	GI₄~a
1288E	GI₆
12890	GIBIL
1289A	GIR₂~a
128A3	GIR₃.gunû~b
128A4	GIR₃.gunû~c
1289F	GIR₃~c
128A7	GIŠ
128AE	GIŠ.tenû
128AC	GIŠ+ŠU₂~a
128A8	GIŠ+TE
128B1	GIŠ₃~b
128B7	GIŠIMMAR~b1
128BC	GU~a
128BE	GU₄
128C0	GU₄.gunû
128C2	GU₇
128C8	GUG₂~a
128D2	GUL
128D4	GUM~b
128DB	GURUŠ~a
128E1	GURUŠDA~a
128E2	HAL
128E4	HAŠHUR
128E6	HI
128F0	HI.gunû~a
128F1	HI.gunû~b
128EC	HI+AŠ~a
128EA	HI+LAGAB~a
128F3	I
128F4	IB~a
128F9	IG~a
128FB	IL
128FE	IM~a
12900	IN~b
1290B	IŠ~a
12914	KA~a
1291B	KA₂+LAM
1291C	KAB
12922	KAK~a
12926	KAL~b1
12929	KALAM~a
1292A	KALAM~b
12930	KAR₂~a
12932	KASKAL
12934	KAŠ~a
12936	KAŠ~b
1293A	KAŠ~c
1293C	KI~a
12941	KID~a
12942	KID~b
12950	KISAL~b1
12954	KISIM~a
1295A	KIŠ
1295C	KIŠIK~a
12961	KU~b1
12963	KU₃~a
12E06	KU₃~a+4N57
12E09	KU₃~a+5N57
12E0B	KU₃~a+6N57
12965	KU₆~a
12968	KU₆~a+KU₆~a
1296C	KUR~a
1297F	LA₂~a
1298F	LAGAB~a+ŠA
12990	LAGAB~a+ŠITA~a1
12997	LAGAB~b
129A6	LAL₂~a
129AD	LAM~b
129B6	LU₂
129BD	MA
129CA	MAH~a+NA~a
129D8	MAR~a
129DF	MAŠ
129E0	MAŠ₂
129E2	ME~a
129E5	MEN~a
129E8	MES~a
129EC	MU
129ED	MUD
129F2	MUD₃~c
129FF	MUŠ₃~a
12A05	MUŠEN
12A0B	NA~a
12A0F	NA₂~a
12A16	NAGA~a
12A19	NAGAR~a
12A1D	NAGAR~b
12A22	NAM~d
12A23	NAM₂
12A27	NAMEŠDA
12A29	NANNA₂
12A2E	NAR
12A2F	NE~a
12A3A	NI~a
12A3B	NI~a+RU
12A44	NIM~b1
12A45	NIM~b2
12A46	NIM~b3
12A47	NIMGIR
12A49	NIN~a
12A61	NINDA₂+?
12A62	NINDA₂+ZATU659+1N1
12A63	NINDA₂+1N1
12A6A	NIR~a
12A6B	NIR~a+AN
12A37	NISAG~b
12A6E	NU.gunû
12A72	NUMUN
12A74	NUN~a
12A79	NUN~a+NAM₂
12A82	NUNUZ~a1
12A84	NUNUZ~a2
12A87	NUNUZ~c
12A8B	PA~a
12A91	PAP~a
12A98	PIRIG~b1
12A9B	PU₂
12A9D	RAD~a
12AA3	RU
12AA6	SA~a
12AA9	SAG
12AB0	SAG+MA
12AB5	SAL
12AB6	SAL+KUR~a
12AB5_12D75	SAL+ZATU751~a
12AB5_12D76	SAL+ZATU751~b
12ABA	SANGA~a
12AC0	SAR~a
12AC4	SI
12ACB	SI₄~d
12ACD	SI₄~f
12ACF	SIG
12AD2	SIG₂~a2
12AD7	SIG₂~b
12AE3	SIG₇~a
12AEE	SILA₃~a+HAŠHUR
12AF5	SILA₃~a+KU₆~a
12AF7	SILA₃~a+MA
12AFE	SILA₃~a+SUM~b
12B02	SILA₃~a+ŠU₂
12B18	SIMUG
12B1B	SU~a
12B21	SUG₅
12B23	SUHUR
12B26	SUKKAL
12B29	SUKUD+SUKUD~b
12B30	SUM~a
12B33	SUM~b
12B35	SUR
12B37	ŠA
12B3A	ŠA.gunû
12B38	ŠA+HI.gunû~a
12B3D	ŠA₃~a1
12B3E	ŠA₃~a2
12B42	ŠAB~a
12B46	ŠAGAN
12B49	ŠAH₂~a
12B4F	ŠAM₂
12B52	ŠE~a
12B54	ŠE~a+NAM₂
12AC1	ŠE~a+SAR~a
12B56	ŠE~a+ŠE~a
12B5A	ŠE₃
12B60	ŠEN~a
12B70	ŠIDIM
12B72	ŠIM~a
12B76	ŠIR~a
12B8A	ŠITA.gunû~a
12B8C	ŠITA.gunû~a+1N6
12B7B	ŠITA~a1
12B88	ŠITA~b3
12B8D	ŠU
12B90	ŠU.gunû
12B8F	ŠU+ŠU
12B98	ŠU₂
12B99	ŠU₂+E₂~a
12B93	ŠU₂+EN~a
12B9E	ŠUBUR
12B9F	ŠUM
12BA0	ŠUR₂~a
12BA8	TA~c
12BB3	TAG~d
12BB4	TAK₄~a
12BB5	TAK₄~a.nutillû
12BB8	TAR~a
12BB9	TE
12BBA	TI~a
12BBD	TI~b
12BC2	TU~b
12BC4	TUG₂~a
12BCB	TUM~a
12BCE	TUM~c
12BD0	TUN₃~a
12BD3	TUR
12BD8	TUR₃~a
12BDD	U₂~b
12BE1	U₄
12BF3	U₄+1N1
12C03	U₄+1N14
12C0B	U₄+1N57
12BE3	U₄+1N8
12C04	U₄+1N14.2N1
12BED	U₄+1N14.4N8
12BEE	U₄+1N14.5N8
12C06	U₄+1N14.8N1
12BF4	U₄+1N1+5N8
12BF5	U₄+2N1
12C07	U₄+2N14
12C0C	U₄+2N57
12BE4	U₄+2N8
12BF8	U₄+2N1+2N14.1N8
