PROTO-CUNEIFORM SIGN A	o0000087	A	2
PROTO-CUNEIFORM SIGN A TIMES AB2	o0028289	|A×AB₂|	3
PROTO-CUNEIFORM SIGN A TIMES AN	o0027203	|A×AN|	4
PROTO-CUNEIFORM SIGN A TIMES EN-A	o0028291	|A×EN~a|	6
PROTO-CUNEIFORM SIGN A TIMES ONE-N14	o0028288	|A×1(N14)|	7
PROTO-CUNEIFORM SIGN A TIMES SHUBUR	o0028293	|A×ŠUBUR|	8
PROTO-CUNEIFORM SIGN A TIMES ZATU672	o0028295	|A×ZATU672|	9
PROTO-CUNEIFORM SIGN A GUNU	o0027505	A@g	10
PROTO-CUNEIFORM SIGN A TENU	o0027507	A@t	11
PROTO-CUNEIFORM SIGN A2	o0000112	A₂	12
PROTO-CUNEIFORM SIGN AB-A	o0028198	AB~a	26
PROTO-CUNEIFORM SIGN AB-A VARIANT 1	o0035506	AB~a~v1	38
PROTO-CUNEIFORM SIGN AB-B	o0028212	AB~b	39
PROTO-CUNEIFORM SIGN AB-B TIMES A	o0028213	|AB~b×A|	40
PROTO-CUNEIFORM SIGN AB-A TIMES A TENU	o0028202	|AB~a×A@t|	27
PROTO-CUNEIFORM SIGN AB-A TIMES ASH2	o0028201	|AB~a×AŠ₂|	28
PROTO-CUNEIFORM SIGN AB-A TIMES KU6-A	o0028203	|AB~a×KU₆~a|	29
PROTO-CUNEIFORM SIGN AB-B TIMES KU6-A	o0028215	|AB~b×KU₆~a|	41
PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N1	o0028199	|AB~a×1(N01)|	30
PROTO-CUNEIFORM SIGN AB-A TIMES SUKKAL	o0028205	|AB~a×SUKKAL|	32
PROTO-CUNEIFORM SIGN AB-B TIMES SHA3-A1	o0028217	|AB~b×ŠA₃~a1|	42
PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A	o0028207	|AB~a×(ŠE~a&ŠE~a)|	33
PROTO-CUNEIFORM SIGN AB-A TIMES X	o0028209	|AB~a×X|	34
PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659	o0028211	|AB~a×ZATU659|	35
PROTO-CUNEIFORM SIGN AB-A GUNU	o0028196	AB~a@g	37
PROTO-CUNEIFORM SIGN AB2	o0000090	AB₂	45
PROTO-CUNEIFORM SIGN AB2 VARIANT 1	o0035504	AB₂~v1	50
PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14	o0028194	|AB₂×2(N14)|	46
PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14 VARIANT 1	o0035502	|AB₂×2(N14)|~v1	47
PROTO-CUNEIFORM SIGN ABGAL	o0028219	ABGAL	51
