|A×AB₂|	A	AB₂
|A×AN|	A	AN
|A×EN~a~v2|	A	EN~a~v2
|A×1(N14)|	A	1(N14)
|A×ŠUBUR|	A	ŠUBUR
|A×ZATU672|	A	ZATU672
|AB~b×A|	AB~b	A
|AB~a×A@t|	AB~a	A@t
|AB~a×AŠ₂|	AB~a	AŠ₂
|AB~a×KU₆~a|	AB~a	KU₆~a
|AB~b×KU₆~a|	AB~b	KU₆~a
|AB~a×1(N01)|	AB~a	1(N01)
|AB~a×SUKKAL|	AB~a	SUKKAL
|AB~b×ŠA₃~a1|	AB~b	ŠA₃~a1
|AB~a×(ŠE~a&ŠE~a)|	AB~a	|ŠE~a&ŠE~a|
|AB~a×X|	AB~a	--X
|AB~a×ZATU659|	AB~a	ZATU659
|AB₂×2(N14)|	AB₂	2(N14)
|AB₂×2(N14)|~v1	AB₂	2(N14)	
|AMA~a×E₂~a|	AMA~a	E₂~a
|AMAR.1(N02)|	AMAR	1(N02)
|AMAR&AMAR|	AMAR	AMAR
|AMAR~v2×TAR~c|	AMAR~v2	--TAR~c
|APIN~a.APIN~a|	APIN~a	APIN~a
|BAD&BAD|	BAD	BAD
|BU~b.NA₂~a~v1|	BU~b	NA₂~a~v1
|BU~a×A|	BU~a	A
|BU~a×GIŠ@t|	BU~a	GIŠ@t
|BU~a×1(N58)|	BU~a	1(N58)
|(BU~a&BU~a).NA₂~a|	|BU~a&BU~a|	NA₂~a
|(BU~a&BU~a).NA₂~a~v1|	|BU~a&BU~a|	NA₂~a~v1
|(BU~a&BU~a).NA₂~b|	|BU~a&BU~a|	--NA₂~b
|(BU~a&BU~a).NA₂~a@n|	|BU~a&BU~a|	--NA₂~a@n
|(BU~a&BU~a).X|	|BU~a&BU~a|	--X
|BU~a+DU₆~a|	BU~a	DU₆~a
|BU~a+DU₆~a~v1|	BU~a	DU₆~a~v1
|DA~a.LIŠ|	DA~a	LIŠ
|DAR~a×A|	DAR~a	A
|DARA₃~c×KAR₂~b|	DARA₃~c	KAR₂~b
|DARA₃~d×KAR₂~b|	DARA₃~d	KAR₂~b
|DARA₃~d1×KAR₂~b|	--DARA₃~d1	KAR₂~b
|DARA₃~d2×KAR₂~a1|	--DARA₃~d2	--KAR₂~a1
|DARA₃~c×(KAR₂~c.ŠE~a)|	DARA₃~c		--KAR₂~c		ŠE~a
|DARA₃~d2×(KAR₂~a1.ŠE~a)|	--DARA₃~d2		--KAR₂~a1		ŠE~a
|DIM~a×GU|	DIM~a	GU
|DIM~a×X|	DIM~a	--X
|DU×1(N58@t)|	DU	1(N58)
|DU₆~a~v1×1(N58)|	DU₆~a~v1	1(N58)
|DU₈~c×HI|	DU₈~c	HI
|DU₈~c×UDU~a|	DU₈~c	UDU~a
|DU₈~c×X|	DU₈~c	--X
|(DUB@n~a×1(N58))~a|		--|DUB@n~a×1(N58)|	
|(DUB@n~a×1(N58))~b|		--|DUB@n~a×1(N58)|	
|DUB@n~b×1(N58)~a|	--DUB@n~b	1(N58)
|DUG~b~v1×AB₂|	DUG~b~v1	AB₂
|DUG~b×ANŠE~b|	DUG~b	ANŠE~b
|DUG~b×ANŠE~d|	DUG~b	--ANŠE~d
|DUG~b×BALA~a|	DUG~b	BALA~a
|DUG~b×BIR₃~c|	DUG~b	BIR₃~c
|DUG~b×DIN|	DUG~b	DIN
|DUG~b~v1×DIN|	DUG~b~v1	DIN
|(DUG~b×DIN)@r|		|DUG~b×DIN|	@r
|DUG~b×E~a|	DUG~b	E~a
|DUG~b×GA~a~v4|	DUG~b	GA~a~v4
|DUG~b×GA~b|	DUG~b	GA~b
|DUG~b×GEŠTU~a~v2|	DUG~b	GEŠTU~a~v2
|DUG~b×GEŠTU~b|	DUG~b	GEŠTU~b
|DUG~b~v1×GEŠTU~a~v2|	DUG~b~v1	GEŠTU~a~v2
|DUG~b×GI₆|	DUG~b	GI₆
|DUG~b×GIŠ|	DUG~b	GIŠ
|DUG~a×HI|	DUG~a	HI
|DUG~b×HI|	DUG~b	HI
|DUG~b~v1×HI|~v1	DUG~b~v1	HI	
|DUG~b~v1×HI@g~a|	DUG~b~v1	HI@g~a
|DUG~a×KASKAL|	DUG~a	KASKAL
|DUG~b×KASKAL|	DUG~b	KASKAL
|DUG~b×KU₆~a|	DUG~b	KU₆~a
|DUG~b×KUR~a|	DUG~b	KUR~a
|DUG~b×KUR~b|	DUG~b	KUR~b
|DUG~b×(KUR~a.X)|	DUG~b		KUR~a		--X
|DUG~b×KUR@g~a|	DUG~b	KUR@g~a
|DUG~a×LAM~b|	DUG~a	LAM~b
|DUG~b×LAM~a|	DUG~b	LAM~a
|DUG~b×MAŠ|	DUG~b	MAŠ
|DUG~b~v1×MAŠ|~v1	DUG~b~v1	MAŠ	
|DUG~a×1(N57)|	DUG~a	1(N57)
|DUG~b×1(N57)|	DUG~b	1(N57)
|DUG~b~v1×1(N57)|	DUG~b~v1	1(N57)
|DUG~c~v1×1(N57)|	DUG~c~v1	1(N57)
|DUG~c~v2×1(N57)|	--DUG~c~v2	1(N57)
|DUG~c~v3×1(N57)|	DUG~c~v3	1(N57)
|DUG~b×(1(N57).KU₃~a)|	DUG~b		1(N57)		KU₃~a
|DUG~b×3(N57)|	DUG~b	3(N57)
|DUG~a×NAGA~a|	DUG~a	NAGA~a
|DUG~b×NAGA~a|	DUG~b	NAGA~a
|DUG~b×NAM₂|	DUG~b	NAM₂
|DUG~b×(NI~a@g.ZATU779)|	DUG~b		NI~a@g		ZATU779
|DUG~b×SA~a|	DUG~b	SA~a
|DUG~b×SI₄~a|	DUG~b	SI₄~a
